Exit,Exit the game
Text Troublemaker,Opponent loses 3 fame each time they upgrade unless they have a bouncer.
Title Housekeeper,Housekeeper
Text Housekeeper,"When a non-maid member enters your club, gain 1 Fame per member present that shares a type with it (Max 3)."
Effect Housekeeper,SOURCEPLAYER gained AMOUNT Fame from CARDNAME.
Title Maid Manager,Maid Manager
Text Maid Manager,"Gains +1 Money for every 2 maids present. At club level 4 or higher, gains +1 Fame instead. (Max +4)"
Title Throne Room Servant,Throne Room Servant
Text Throne Room Servant,"Gain +2 Fame per tier 5 member in your club (Max +7)"
Title Feather Duster,Feather Duster
Text Feather Duster,"End any one event currently in play, if you control a maid, gain money equal to its tier and draw a card."
Prerequisite Feather Duster,Select an ongoing event to end.
Title Afterhours Service,Afterhours Service
Text Afterhours Service,"For the next three turns, for each maid or staff in your club you lose 2 money and gain 2 fame (max 18)."
Title Night Maid,Night Maid
Text Night Maid,Gains +4 fame and +2 money as long as you have an active event.
Title Tax Auditor,Tax Auditor
Text Tax Auditor,"Enters: Select a level 3 or lower member in your opponent's club and set their Money to 1."
Prerequisite Tax Auditor,Select a member from your opponent club to set its money to 1
GroupKemonomimi,Kemonomimi
Title Beat Cop,Beat Cop
Text Beat Cop,"Cannot be targeted by other cards. Enters: Shuffle each player's streets into their deck."
Title Knot Tester,Knot Tester
Text Knot Tester,"Enters: Play a random Knot event from your deck."
Title Insurance Agent,Insurance Agent
Text Insurance Agent,"Gain 1 money for each card you draw. If you start your turn with no cards in hand, remove this member and draw 3 cards."
GroupPorn,Porn
GroupVideo,Video
Title Talent Agent,Talent Agent
Text Talent Agent,"Enters: Add two Porn Amateurs to your hand. Gains +1 Fame if you have 3 or more videos in your streets."
Title Eden,Eden
Text Eden,"Enters: Play again. Select a tier. Your opponent can't play cards of that tier next turn. Return to hand after 3 turns."
Effect Eden,Eden prevents the opponent from playing tier AMOUNT.
Title Adoption,Adoption
Text Adoption,"Add a random pet from your deck or streets to your hand, if it's tier is equal to or lower than your building level, play again."
Title Loving Owner,Loving Owner
Text Loving Owner,"Pets treat your building level as 1 higher. Gains +1 Money if you control a Maid. Gains +2 fame if you control 6 or more pets."
Title Cheeky Hamster,Cheeky Hamster
Text Cheeky Hamster,"Gain +Fame equal to your building level. Enters: Lose 10 Money."
Title Vanilla Classic,Vanilla Classic
Text Vanilla Classic,"Choose a Porn Actress and return it to your hand. Then draw a card and take another action."
Prerequisite Vanilla Classic,"Select a Porn Actress from your club."
Title Guest Star,Guest Star
Text Guest Star,"When you play a video, gain Fame and Money equal to its tier + number of Porn Actresses present (max 6)."
Title Skye,Skye
Text Skye,"Once per turn when a member enters your club, if it has a type not already present in your club you draw a card and lose 2 money."
Title Vintage Maid,Vintage Maid
Text Vintage Maid,"Cannot be targeted by other cards. Enters: Return a member of your choice from your streets to your hand."
Title Fetish Flick,Fetish Flick
Text Fetish Flick,"Return 2 random Porn actresses from your club to your hand, then take 4 actions."
Title Ball Buster,Ball Buster
Text Ball Buster,"Return two random porn actresses from your club to your hand. Your opponent cannot play events or liabilities for 2 turns."
GroupTimedEvent,Timed Event
GroupAuction,Auction
Title Kira,Kira
Text Kira,Can't leave. Gets +1 Fame per 2 members present (Max 8). Joins: Set the Fame & Money of a member in your club and those adjacent to 0/-2.
Prerequisite Kira,"Select a member from your club."
InfoPopupTitle, Info
InfoFameTitle,"Fame"
InfoFameDescription1,"Be the first to reach 100 Fame to win!"
InfoFameDescription2,"Some cards generate Fame each turn (shown in square icon)."
InfoFameDescription3,"Fame generation stops if your Money falls below 0."
InfoMoneyTitle,"Money"
InfoMoneyDescription1,"Some cards generate Money each turn (shown in circle icon)."
InfoMoneyDescription2,"Can spend money to upgrade your club tier."
InfoBuildingTiersTitle,"Club"
InfoBuildingTiersDescription1,"Higher club tier unlock more space and lets you play better cards: ⤵️"
InfoBuildingTiersDescription2,"T1: Apartment (free, 5🀆) → T2: Cottage (10💲, 7🀆) → "
InfoBuildingTiersDescription3,"T3: House (20💲, 13🀆) → T4: Mansion (30💲, 20🀆) → T5: Manor (40💲, 40🀆)"
InfoLiabilitiesTitle,"Liabilities"
InfoLiabilitiesDescription1,"Played into opponent's club, take up space and cause negative effects."
InfoStreetsTitle,"Streets"
InfoStreetsDescription1,"Used cards that are no longer in play will go to the streets."
Title Drunkard,Drunkard
Text Drunkard,"For each card you draw, lose 1 Fame unless a Bouncer is present, and lose 1 Fame unless a Waitress is present."
GroupSlave,Slave
GroupSubmissive,Submissive
Title Country Gal,Country Gal
Text Country Gal,"<F>Every bounce it gets tighter… my grip on bull, duh!"
Title Kneeling Sub,Kneeling Sub
Text Kneeling Sub,"<F>I'm on my knees so much, that I needed kneepads"
Title Humbled Harper,Humbled Harper
Text Humbled Harper,"For each card your opponent draws, receive 1 Money, and if there are at least 6 members present receive 1 Fame."
Title Miss N Spection,Miss N Spection
Text Miss N Spection,"If you take the Draw action with no cards in hand, draw 2 additional cards. Enters: Discard a card of your choice, then draw a card."
Prerequisite Miss N Spection,Select a card in your hand to discard.
Title Bottom Bitch,Bottom Bitch
Text Bottom Bitch,"Gain +1 fame for each other submissive present (max 8). Leaves at the end of your turn if no mistress present."
Title Nadu Nyla,Nadu Nyla
Text Nadu Nyla,Gain +2 Fame and +1 Money as long as you have an active event in your club.
Title Surrender,Surrender
Text Surrender,All Slaves in your club get +1 Fame.
Title Hands Out,Hands Out
Text Hands Out,"Select a card in your hand, then discard your hand and draw as many cards, save the selected card if a slave is present."
Prerequisite Hands Out,Select a card in your hand.
Title Carol,Carol
Text Carol,"Enters: If another Nurse is present, add a random Patient from your Streets to your club, if there are none, add one from your deck."
Title Rizom,Rizom
Text Rizom,"Enters: Select a member from your club to get 1 Fame and Money, 1 more Fame if an ABDL Mom is present, 1 more Money if an Owner is present."
Prerequisite Rizom,'Select a member from your club to enhance.'
Effect Rizom,"CARDNAME got a massage from Rizom, their fame and money got boosted."
Title Chirumi,Chirumi
Text Chirumi,Gain +1 fame equal to your club tier. Leaves your club if your streets have more than 3 cards.
Title Pack Member,Pack Member
Text Pack Member,"Enters: Add a Pack member to your hand if you have fewer members in your club than the opponent."
Title Brutus,Brutus
Text Brutus,"<F>I usually use these cuffs outside of work."
Title Yunari,Yunari
Text Yunari,"If your streets have fewer cards than your opponent's, leaves your club at the end of your turn."
Title Pack Leader,Pack Leader
Text Pack Leader,"Gain +1 Fame for each Pack Member in your club (Max +5). Gain +2 Fame if a Pack Member is in your streets."
Title Mama Bear,Mama Bear
Text Mama Bear,"Enters: Receive 1 Fame per different group in your club, and 1 Money per ABDL Baby in your club."
Title Instincts,Instincts
Text Instincts,"Lose 12 fame, draw three cards. You cannot gain fame until a Kemonomimi is present."
Title Pack Tactics,Pack Tactics
Text Pack Tactics,"Add a Pack Member to your club. for the next 2 turns, opponent loses 1 Fame for each Pack Member in your club"
Title Conservation Efforts,Conservation Efforts
Text Conservation Efforts,"For 4 turns, If a Kemonomimi is Present, receive 2 Fame and Money for each card you draw."
Title Artie, Artie
Text Artie,"Gain +1 Fame per 2 building tiers. Enters: Lose 6 Money and draw a random Owner from your deck."
Title Cute Bunny,Cute Bunny
Text Cute Bunny,"Leaves if the number of Cute Bunny present is higher than your club's tier. Enters: Add Cute Bunny to your hand, your opponent receives 2 Fame."
Title Ganguro Girl,Ganguro Girl
Text Ganguro Girl,"At the end of your turn, the player with more non-Liability members loses 1 Fame."
Title Collector,Collector
Text Collector,"Gain +1 Fame if a Slave is present. Gain +1 Money per Kemonomimi present (max 2)."
Title Sewer Rat,Sewer Rat
Text Sewer Rat,"At the end of your turn, If there are at least 7 members in your streets, leaves your club and opponent loses 25 Fame."
Title Hustler,Hustler
Text Hustler,"When you steal with another effect, receive 1 Fame or 1 Money at random for each Criminal in your streets (Max 2 each)."
Title Enforcer,Enforcer
Text Enforcer,"Gain +1 fame per member in your streets (max 7). Enters: Discard 3 random members from your deck and receive Money equal to their tiers."
Title Ball Gag,Ball Gag
Text Ball Gag,"If a Mistress is present, select a member from either club to negate their effect, then lose Money equal to its tier^2."
Prerequisite Ball Gag,Select a member to gag.
Effect Ball Gag,CARDNAME got their effect negated.
Title Akira,Akira
Text Akira,Enters: Select a member from either club to Ball Gag.
Prerequisite Akira,Select a member to negate their effect.
Title Ari,Ari
Text Ari,"Gain +1 Fame per two college students present (max = club tier)."
Title Mei,Mei
Text Mei,"Enters: Select a card from your deck to reveal and add to hand, receive 3 Money, doubled if its tier 5, else gets the submissive type."
Prerequisite Mei,"Select a card to add to your hand"
Title Cafe Maid,Cafe Maid
Text Cafe Maid,"For each card you draw, receive 1 Money, if your club tier is 4 or higher, receive 1 Fame too."
Title Jailbird,Jailbird
Text Jailbird,"When you steal Fame, can steal even if the opponent have none."
Title Riot,Riot
Text Riot,"For 4 turns, steal 1 Fame per Criminal in your streets, and gain 2 Money per Criminal in your club."
Title Tabled Tessa,Tabled Tessa
Text Tabled Tessa,"Gains +1 Money and +1 Fame as long as your club level is lower than the opponent's."
Title Stalker,Stalker
Text Stalker,"If this card is in your hand and you play a revealed member, she enters your club."
Title Lewd Photographer,Lewd Photographer
Text Lewd Photographer,"When an exhibitionist enters your club, lose 1 Money and add Nude Photos into your opponent deck."
Title Streaker,Streaker
Text Streaker,"Enters: add a New Clothes to your opponent's deck. Returns to your hand after 4 turns and both players draw a card."
Title Exotic Dancer,Exotic Dancer
Text Exotic Dancer,"Gains +1 Fame if there are at least 16 members in your club, gains +1 Money if you have Procuress in your club."
Title Flasher,Flasher
Text Flasher,"Receive 1 Fame when a member enters your club. Enters: Add 2 Nude Photos to your opponent's deck."
Title Window Shopper,Window Shopper
Text Window Shopper,"Gain +4 Fame if there are at least 12 visible exhibitionists. When you play streaker, exotic dancer, or nudist, play again."
Title Lingerie Model,Lingerie Model
Text Lingerie Model,"Enters: Add 3 New Clothes to your opponent's deck."
Title Procuress,Procuress
Text Procuress,"For every 6 members present, lose 2 Money and add Exotic Dancer to your hand."
Title Covert Canvas,Covert Canvas
Text Covert Canvas,"Receive 1 Fame for each card a player draws. Enters: Both players draw 3 cards."
Title Temptress,Temptress
Text Temptress,"When your opponent draws a card, steal 1 fame. If their deck is empty, they lose 7 Fame at the end of their turn."
Title Sexibitionist,Sexibitionist 
Text Sexibitionist,"Enters: Add 3 Nude Photos to your opponent's deck, then both players draw 3 cards."
Title New Clothes,New Clothes
Text New Clothes,"When Drawn: Remove this card, draw a card, lose 3 Money and your opponent receive 3 Fame."
Title Nude Photos,Nude Photos
Text Nude Photos,"When Drawn: Remove this card, draw a card, lose 4 Fame and your opponent receive 2 Money."
Title Walkies,Walkies
Text Walkies,"Send a pet or an exhibitionist from your hand to your streets. Take 4 actions. You can only play pets or exhibitionists this turn."
Prerequisite Walkies,Select a pet or an exhibitionist in your hand.
Title Peek Performance,Peek Performance
Text Peek Performance,"Both players draw 1 card, and 1 more per 3 visible exhibitionists."
Title Unlucky Undresser,Unlucky Undresser
Text Unlucky Undresser,"Enters: add New Clothes and 2 Nude Photos to your opponent's deck."
Title Lumi,Lumi
Text Lumi,"Active (Once per tier): Play again, Players reveal their hands, the player with higher sum of tiers receive Fame equal to their club tier*2."
Title Public Advertisement,Public Advertisement
Text Public Advertisement,"When a member enters your club receive 1 Money and opponent receives 2 Fame."
Title Tifa,Tifa
Text Tifa,"Active (Once per turn): Lose 3 Money, look at top card of your deck, Draw it or send it to streets and draw another card."
Effect Tifa Discard,"SOURCEPLAYER send a card to streets and draw from Tifa"
Effect Tifa Draw,"SOURCEPLAYER draw a card from Tifa"
ActiveEffect,Activate Effect.
DrawThisCard,Draw This Card.
SendToStreets,Send To Streets.
